Feature,Importance
Median_X,0.11437
Min_X,0.100600176
RMS_X,0.09807881
Mean_X,0.09014803
Std_Y,0.052485857
Median_Y,0.049141426
Max_X,0.049019963
Std_X,0.045877475
Min_Y,0.036569964
Std_Distance,0.031437725
Total_Distance,0.03080074
RMS_Y,0.029873852
Kurtosis_Y,0.029032111
Max_Y,0.028519375
Mean_Y,0.028434535
Kurtosis_X,0.028338296
Direction_Change,0.02825067
Range_X,0.028107824
Skew_X,0.026351606
Maximum_Distance,0.026023638
Range_Y,0.024998663
Skew_Y,0.023539312
Variance_X,0.0
Variance_Y,0.0
Average_Distance,0.0
